Structure,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
DY-405,0,3,4,0,1,0,0,1
DY-410,0,1,1,0,1,0,1,1
Dy-415,1,1,1,0,1,0,1,1
Dy-430,3,1,1,0,1,1,1,1
Dy-431,2,2,1,0,1,1,1,2
Dy-478_NHS-Ester,4,0,2,0,1,1,1,1
Dy-490,0,3,3,0,2,0,1,1
Dy-495,0,0,3,0,2,0,1,1
Dy-505,0,0,3,0,2,0,1,1
Dy-530,1,2,3,0,1,0,1,3
Dy-546,3,2,3,0,1,0,1,3
Dy-547P1,5,2,2,4,1,2,0,2
Dy-548P1,4,3,2,4,1,2,0,3
Dy-549P1,3,4,2,4,1,2,0,4
Dy-550,5,1,1,3,1,1,0,2
Dy-554,4,0,3,0,2,0,1,1
Dy-555,4,0,3,0,2,0,1,1
Dy-556,3,1,3,0,1,0,1,1
Dy-557,2,2,3,0,1,0,1,3
Dy-560,4,1,3,0,1,0,1,1
Dy-580,0,0,3,0,2,4,1,0
Dy-585,4,2,3,0,1,1,1,3
Dy-590,0,1,3,0,1,4,1,1
Dy-591,0,1,3,0,1,4,1,1
Dy-594**,4,4,3,0,2,2,1,2
Dy-605,5,4,3,0,1,2,1,3
Dy-610,5,1,1,3,1,1,1,2
Dy-615,5,1,2,4,1,1,1,1
Dy-630,7,1,2,4,1,1,1,1
Dy-631,6,2,2,4,1,1,1,2
Dy-632,4,3,2,4,1,1,1,2
Dy-633,6,2,2,4,1,1,1,2
Dy-634,4,4,2,4,1,1,1,4
Dy-635,5,1,2,4,1,3,1,1
Dy-636,4,2,2,4,1,3,1,2
Dy-641,3,2,2,3,1,1,1,2
Dy-643,4,2,2,3,1,1,1,2
Dy-647P1,5,2,2,6,1,2,0,1
Dy-648P1,4,3,2,6,1,2,0,3
Dy-649P1,3,4,2,6,1,2,0,4
Dy-650,9,1,2,4,1,2,1,1
Dy-651,8,2,2,4,1,2,1,1
Dy-652,7,3,2,4,1,2,1,3
Dy-654,6,4,2,4,1,2,1,3
Dy-660P1,4,4,3,6,1,2,0,3
Dy-675,6,1,3,5,1,2,1,1
Dy-676,5,2,3,4,1,2,1,2
Dy-677,4,3,3,4,1,2,1,3
Dy-678,3,4,3,4,1,2,1,3
Dy-679P1,4,4,4,6,1,2,0,3
Dy-680,7,1,2,4,1,1,1,1
Dy-681,6,2,2,4,1,1,1,2
Dy-682,5,3,2,4,1,1,1,2
Dy-684,4,4,4,4,1,1,1,2
Dy-700,5,1,3,4,1,1,1,1
Dy-701,4,2,3,4,1,1,1,2
Dy-703,5,2,3,4,1,1,1,2
Dy-704,5,3,3,4,1,1,1,2
Dy-705,5,2,3,4,1,1,1,1
Dy-706,4,3,3,4,1,1,1,2
Dy-720,5,2,4,3,1,1,1,2
Dy-730,7,1,2,6,1,1,1,1
Dy-731,6,2,2,6,1,1,1,2
Dy-732,5,3,2,6,1,1,1,3
Dy-734,3,4,2,6,1,1,1,4
Dy-736,4,2,2,6,1,3,1,2
Dy-747P1,5,2,2,8,1,2,0,2
Dy-749P1,3,4,2,8,1,2,0,4
Dy-751,8,2,2,6,1,2,1,2
Dy-752,7,3,2,6,1,2,1,3
Dy-754,6,4,2,6,1,2,1,4
Dy-765,7,3,5,3,1,2,1,1
Dy-776,5,2,3,6,1,2,1,2
Dy-777,4,3,3,6,1,2,1,3
Dy-778,3,4,3,6,1,2,1,3
Dy-780,7,1,2,6,1,1,1,1
Dy-781,6,2,2,6,1,1,1,1
Dy-782,5,3,2,6,1,1,1,3
Dy-784,4,4,4,6,1,1,1,2
Dy-805,3,2,4,5,1,1,1,2
Dy-820,5,2,4,5,1,1,1,2
Dy-831,6,2,2,8,1,1,1,1
Dy-845,6,3,4,5,1,2,1,2
Dy-865,7,3,5,5,1,2,1,1
Dy-480XL,2,1,1,3,1,1,1,1
Dy-481XL,1,2,1,3,1,1,1,2
Dy-585XL,1,1,1,0,1,1,1,2
Dy-510XL,3,1,1,0,1,2,1,2
Dy-5101XL,2,2,1,0,1,2,1,2
Dy-520XL,2,1,1,3,1,1,1,1
Dy-521XL,1,2,1,3,1,1,1,2
Dy-601XL,2,2,2,5,1,1,1,2